cumuCO2, costs
0.5492788461538461, 0.3315649867374004
0.5366586538461539, 0.1883289124668428
0.461298076923077, 0.23209549071617985
0.45625000000000004, 0.275862068965516
0.4721153846153847, 0.5503978779840848
0.4493990384615385, 0.4111405835543769
0.4346153846153846, 0.5742705570291777
0.40576923076923077, 0.4986737400530501
0.3877403846153846, 0.41909814323607364
0.3661057692307692, 0.502652519893898
0.35204326923076923, 0.3793103448275854
0.3567307692307692, 0.4429708222811666
0.3433894230769231, 0.47082228116710834
0.3185096153846154, 0.3832891246684351
0.3080528846153846, 0.458885941644561
0.282451923076923, 0.47480106100795716
0.2745192307692308, 0.5424403183023871
0.2637019230769231, 0.4867374005305036
0.22836538461538466, 0.8766578249336865
0.19591346153846154, 0.8090185676392556
0.2308894230769231, 1.1551724137931032
0.24855769230769229, 1.1710875331564985
0.34807692307692306, 1.2307692307692308
0.296875, 1.3222811671087538
0.2864182692307692, 1.5649867374005302
0.24314903846153849, 1.7320954907161799
0.18581730769230767, 1.206896551724137
0.1731971153846154, 1.656498673740053
0.15769230769230766, 1.6246684350132625
0.11442307692307693, 1.346153846153845
0.11947115384615384, 1.3938992042440326
0.23918269230769232, 2.456233421750663
0.19735576923076922, 2.794429708222812
0.16490384615384612, 3.291777188328913
0.17500000000000002, 3.6339522546419087
